company_name,city,state,funding_stage,last_funding_date,estimated_revenue,operating_status,website,full_description,employee_range,contact_email,founder_name,industries
Ownwell,Austin,Texas,Series B,"Feb 19, 2026",$1M to $10M,Active,www.ownwell.com,"Ownwell helps property owners reduce their real estate costs, primarily through technology that identifies overpayment of property taxes. The company streamlines the property tax appeal procedure, enabling property owners to manage their financial health. Additionally, Ownwell assists homeowners in saving money by pinpointing eligible exemptions and lowering other expenses related to homeownership, including internet bills and insurance.",101-250,hello@ownwell.com,Colton Pace,"Commercial Real Estate, Home Services, Personal Finance, Real Estate, Residential"
Braintrust,San Francisco,California,Series B,"Feb 17, 2026",,Active,www.braintrust.dev,"Braintrust is an AI-native observability startup that helps teams measure, evaluate, and improve AI models and products. It enables users to capture detailed traces of AI model behavior in production, inspect prompts and model outputs, and track performance metrics in real time to help identify issues such as drift or inaccuracies. The platform integrates evaluation workflows with observability, allowing teams to define quality criteria, run automated or human-assisted tests, and compare models or prompts systematically to guide iterative improvements.

Braintrust includes tools like a purpose-built database for storing and querying AI logs and traces, SDKs for multiple programming languages, and an automation agent that assists with tasks such as prompt optimization and dataset generation based on trace data. The platform offers customizable dashboards, alerting mechanisms, and integration with existing development workflows so teams can address regressions and adjust deployments based on real usage insights. Braintrust is designed to work with a wide range of AI frameworks and infrastructure components, enabling consistent quality checks and performance analysis throughout the lifecycle of AI features.",101-250,info@braintrustdata.com,Ankur Goyal,"Science and Engineering, Software, Artificial Intelligence (AI), Data Integration, Data Management"
Mosaic,New York,New York,Series A,"Apr 7, 2026",,Active,mosaic.pe,,1-10,ian@mosaic.pe,Ian Gutwinski,"Financial Services, Professional Services, Software"
Mirage,New York,New York,Series C,"Mar 24, 2026",$1M to $10M,Active,mirage.app/,"Mirage (formerly known as Captions) is a video-generating, video-editing and AI research company headquartered in New York City. Their first app, Captions, is available on iOS, Android, and Web and offers a suite of tools aimed at streamlining the creation and editing of videos. Their enterprise platform, Mirage Studio, generates AI actors and videos for marketing assets and video campaigns.",51-100,hello@mirage.app,Dwight Churchill,"Science and Engineering, Software, Video, Artificial Intelligence (AI), Generative AI"
Allocate,Palo Alto,California,Series B,"Sep 3, 2025",$1M to $10M,Active,www.allocate.co,"Allocate provides an intelligent operating system for private market investing, equipping wealth advisory firms and institutional family offices with modern infrastructure to source, build, and manage high-quality private portfolios with one modern technology interface. The company's platform leverages AI-driven investment management, comprehensive administration, and personalized access to opportunities at reduced minimums, making private market investing more efficient, transparent, and responsible. The platform supports intelligent curation, real-time tracking, and provides personalized infrastructure—allowing users to launch custom-branded funds, centralize portfolio data, and discover premium private market opportunities.",11-50,,Hana Yang,"Finance, Financial Services, Impact Investing"
Agentio,New York,New York,Series B,"Nov 18, 2025",$1M to $10M,Active,www.agentio.com,"Agentio is a platform for creator-led advertising that helps brands book ad slots in creator content. It uses AI to match brands with creators, automate campaign setup (from brief to contracting), and manage real-time performance optimization. Agentio also provides tools for brand-safe content review, measurement, and attribution, allowing marketers to run creator campaigns with media-grade rigor. The platform streamlines workflows so that what traditionally takes weeks now happens in minutes.",51-100,hello@agentio.com,Arthur Leopold,"Media and Entertainment, Science and Engineering, Software, Advertising Platforms, Artificial Intelligence (AI), Content Creators"
Human Longevity,San Diego,California,Series B,"Aug 21, 2024",$10M to $50M,Active,humanlongevity.com,"Human Longevity (HLI) is the genomic-based, health intelligence company empowering proactive healthcare and enabling a life better lived. HLI combines the largest database of genomic and phenotypic data with machine learning to drive discoveries and revolutionize the practice of medicine. Its business areas include the HLI Health Nucleus, a genomic powered clinical research center that uses whole-genome sequence analysis, advanced clinical imaging, and innovative machine learning, along with curated personal health information to deliver the most complete picture of individual health; HLIQ Whole Genome and HLIQ Oncology. 

It was founded in 2013 and is headquartered in San Diego, California.",51-100,clientservices@humanlongevity.com,Elizabeth Hunker,"Biotechnology, Genetics, Health Care, Health Diagnostics"
Solace,Redwood City,California,Series C,"Feb 10, 2026",,Active,www.solace.health,"Solace provides a digital healthcare advocacy platform that connects patients with professional advocates who support them through complex medical journeys. Its services include matching individuals with advocates who help interpret care options, coordinate appointments, manage communications with providers, and assist with administrative tasks related to treatment and insurance navigation. The company facilitates ongoing communication between patients and advocates through video, phone, text, or email, aiming to reduce the burden of navigating healthcare systems. Solace advocates work alongside families and care teams to guide decisions and support care planning based on individual needs. Their model integrates clinician-led intake to find suitable advocates and maintain continuity of support throughout the healthcare process.",251-500,hello@solace.health,Jeremy Gurewitz,"Health Care, Medical, Online Portals, Wellness"
C-Infinity,Mountain View,California,Seed,"Apr 22, 2026",,Active,c-infinity.ai,"C-Infinity develops artificial intelligence software and services for data processing, automation, and decision support. building foundational AI for mechanical design and manufacturing—AI that reasons about geometry, motion, constraints, and production logic.",51-100,info@c-infinity.ai,Johan Kleer,"Science and Engineering, Software, Artificial Intelligence (AI), Information Technology"
Collov Labs,Redwood City,California,Series A,"Apr 21, 2026",$1M to $10M,Active,collovlabs.com,Collov is a SaaS company that provides a virtual interior design and shopping platform for spatial intelligence. It helps transform homes with artificial intelligence and virtual reality technology with an AI algorithm-driven e-commerce platform corresponding to home decoration design solutions.,11-50,xiao@collov.com,Nicole Wang,"Generative AI, Home Decor, Interior Design"
Windsurf,Mountain View,California,Series C,"Aug 29, 2024",$50M to $100M,Active,windsurf.com,"Windsurf offers an AI coding assistant designed to enhance developers' productivity. The platform features an integrated development environment that simplifies coding tasks and streamlines workflows. It supports multiple operating systems, including Mac, Windows, and Linux, making it accessible to a wide range of users. 

Windsurf provides a free version for individual developers, while teams can access additional features through an enterprise offering. This flexibility allows users to choose the option that best suits their needs. 

By focusing on usability and functionality, Windsurf aims to improve its users' overall coding experience.",101-250,hello@windsurf.com,Douglas Chen,"Information Technology, Science and Engineering, Software, Artificial Intelligence (AI), Enterprise Applications, Machine Learning"
Steadily,Beaverton,Oregon,Series C,"Apr 23, 2025",$1M to $10M,Active,www.steadily.com,"Steadily provides property and liability insurance tailored for rental property owners and investors. The company focuses on simplifying the insurance process, offering various coverage options that address the specific needs of landlords. Steadily emphasizes a user-friendly platform, enabling customers to obtain quotes and manage their policies efficiently. The services include comprehensive coverage for property damage, liability protection, and additional endorsements to enhance policy flexibility. By streamlining the insurance experience, Steadily aims to support property owners in safeguarding their investments effectively.",101-250,support@steadily.com,Darren Nix,"Commercial Insurance, Insurance, InsurTech, Property Insurance"
Clairity,Austin,Texas,Series B,"Nov 13, 2025",,Active,clairity.com,"Clairity provides an AI-powered precision health platform focused on predicting future disease risk from routine medical imaging. Its product, Clairity Breast, uses only a standard screening mammogram to generate a five-year risk estimate of developing breast cancer. The system analyzes subtle patterns in breast tissue that may not be visible to human readers, generating a risk score intended to support clinical decision making rather than diagnose disease. Clairity is also working to extend its predictive imaging framework into other areas of health beyond breast cancer.",11-50,info@clairity.com,Constance Lehman,"Science and Engineering, Software, Artificial Intelligence (AI), Health Care, Machine Learning"
Loyal,San Francisco,California,Series C,"Feb 11, 2026",$10M to $50M,Active,loyalfordogs.com,"Loyal is a veterinary biotechnology company that develops pharmaceutical therapies for dogs aimed at extending their healthy lifespan and delaying age-associated diseases. It researches and formulates drug candidates designed to address the biological mechanisms of aging in different dog populations, including senior and large-breed dogs, with products progressing through clinical and regulatory pathways. Loyal engages in clinical studies and collaborates with veterinary professionals to advance its therapeutic programs and share scientific insights with the broader field. The company publishes research summaries to support transparency and enable other practitioners to build on its findings.",101-250,info@loyalfordogs.com,Celine Halioua,"Science and Engineering, Biotechnology, Pet, Pharmaceutical, Veterinary"
Canopy,Draper,Utah,Series C,"Apr 23, 2025",$10M to $50M,Active,www.getcanopy.com,"Canopy offers a cloud-based Practice Management solution for Accounting firms. This includes CRM, Client Portal, Document Management, eSignatures, Workflow, Time & Billing, Payments, Tax Resolution, and Transcripts and Notices.",101-250,info@canopytax.com,Doug McLean,"Other, Payments, Professional Services, Accounting, Billing, CRM, Document Management"
Hilbert's AI,California,Kentucky,Series A,"Apr 15, 2026",,Active,www.hilberts.ai,The AI-native B2C Growth Infrastructure.,1-10,brain@hilberts.ai,Ceyda Erten,"B2C, Software"
Alaffia Health,New York,New York,Series B,"Feb 3, 2026",$1M to $10M,Active,www.alaffiahealth.com,"Alaffia Health offers artificial intelligence solutions that support health plan claims operations by automating and improving clinical review workflows. Its platform uses AI agents to analyze complex medical claims data, extract structured clinical facts, and assist with payment integrity, utilization management, and appeals processing. The company’s tools integrate with existing claims systems to prioritize cases, support clinician review, and help identify errors, waste, and inconsistencies before payment. Alaffia Health combines machine learning with clinician oversight to enhance accuracy in claims decisions and streamline administrative tasks for health insurance payers and related organizations.",51-100,,Adun Akanni,"Science and Engineering, Software, Agentic AI, Artificial Intelligence (AI), Health Care, Machine Learning"
Coverbase,San Francisco,California,Series A,"Nov 20, 2025",$1M to $10M,Active,www.coverbase.com,"Coverbase provides an AI-native procurement and third-party risk management platform. It helps enterprises automate vendor onboarding by collecting documents and answers through intelligent agents, reducing manual back-and-forth. Its system supports risk assessment by validating controls, comparing questionnaires, and tracking exceptions across information security, privacy, compliance, and legal. Coverbase also centralizes contract management by extracting key clauses from agreements and monitoring vendor obligations. Finally, it offers continuous supplier monitoring by aggregating internal and external data feeds to surface emerging risks in real time.",11-50,security@coverbase.ai,Clarence Chio,"Professional Services, Science and Engineering, Software, Artificial Intelligence (AI), Compliance, Procurement, Risk Management, Security"
Rox,San Francisco,California,Series B,"Mar 12, 2026",,Active,rox.com,"Rox provides an artificial intelligence software platform that supports sales teams with account research, engagement planning, and monitoring of customer activity. The platform uses a system of AI agents that gather and analyze information from internal systems and external sources to organize customer data and surface relevant insights. It generates meeting briefs, territory summaries, and follow-up recommendations while tracking interactions across communication channels and customer records. Rox integrates with tools such as CRM platforms, messaging systems, and calendars to synchronize information and maintain updated records across workflows. The system also assists with drafting outreach messages and identifying account changes or engagement signals so sales teams can plan actions and manage ongoing relationships with customers.",101-250,,Avanika Narayan,"Sales and Marketing, Science and Engineering, Software, Agentic AI, Artificial Intelligence (AI), Sales Automation"
Vibe,New York,New York,Series B,"Sep 30, 2025",$50M to $100M,Active,www.vibe.co,"Vibe is a streaming TV advertising company for small and medium-sized businesses. Advertisers select which app(s), channel(s), or live sports league(s) to advertise with, target specific audiences, optimize their spending based on performance metrics, upload their creative assets, and go live on TV. It is a self-serve CTV and OTT ad platform that allows advertisers to launch or insert CTV and OTT ad campaigns. The platform provides insights into the ads and allows advertisers to edit the ad strategy.",101-250,arthur@vibe.co,Arthur Querou,"Sales and Marketing, Software, Video, Advertising, Internet, Marketing, TV"
Arch,New York,New York,Series B,"Sep 15, 2025",$50M to $100M,Active,arch.co,"Arch manages private investment operations for leading investors and investment advisors, reinventing private portfolio management through a digital solution that replaces traditionally paper based processes.",101-250,info@arch.co,Jason Trigg,"Enterprise Software, Finance, Financial Services"
QuEra Computing,Boston,Massachusetts,Series B,"Feb 11, 2025",$10M to $50M,Active,www.quera.com,"QuEra Computing is a company focused on developing quantum computing technology. They specialize in building large-scale quantum computers using neutral atoms. QuEra uses innovative techniques to manipulate and control qubits for quantum computation, aiming to solve complex problems in fields like chemistry, materials science, and machine learning. Their quantum computers operate on a platform that leverages arrays of neutral atoms that are highly scalable, providing a path toward achieving quantum advantage for practical applications.",101-250,info@quera.com,Dirk Englund,"Hardware, Science and Engineering, Computer, Consumer Research, Quantum Computing"
Mem0,San Francisco,California,Series A,"Oct 28, 2025",,Active,mem0.ai,"Mem0 is a startup that provides a dedicated memory layer for large-language-model (LLM) applications, enabling AI agents to retain, retrieve, and build upon past interactions over time. The platform offers both an open-source version and a managed cloud service, allowing developers to integrate Mem0 with a one-line install and begin tracking user preferences and history.",1-10,taranjeet@mem0.ai,Deshraj Yadav,"Science and Engineering, Software, Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS"
Metsera,New York,New York,Series B,"Nov 13, 2024",$100M to $500M,Active,metsera.com,Metsera is a biotechnology company that develops and manufactures therapies. The company's focus is on nutrient-stimulated hormone therapies for obesity and related conditions. Its portfolio includes both injectable and oral therapeutic candidates.,51-100,,Whit Bernard,"Biopharma, Health Care, Medical, Pharmaceutical"
Bedrock Robotics,San Francisco,California,Series B,"Feb 4, 2026",,Active,bedrockrobotics.com,"Bedrock Robotics delivers enhanced autonomy to the built environment, allowing the construction sector to build at the rate that today's society requires.",51-100,info@bedrockrobotics.com,Ajay Gummalla,"Information Technology, Science and Engineering, Software, Artificial Intelligence (AI), Robotics"
Rad AI,San Francisco,California,Series C,"May 20, 2025",$1M to $10M,Active,www.radai.com,"Rad AI develops an artificial intelligence automated report generation platform to automate repetitive tasks for radiologists. Its platform integrates with existing workflow, automating repetitive tasks, and enabling radiologists to improve radiology workflow that maximizes efficiency and accuracy while reducing burnout for radiologists and improving patient care.",101-250,info@radai.com,Doktor Gurson,"Science and Engineering, Software, Artificial Intelligence (AI), Enterprise Software, Health Care"
Datarails,New York,New York,Series C,"Jan 21, 2026",$1M to $10M,Active,www.datarails.com,"Datarails is a financial planning and analysis platform that centralizes and automates the consolidation, reporting, planning, and forecasting of financial data while letting finance teams continue using their existing Excel models. It integrates data from multiple sources including ERPs, CRMs, HR systems, and spreadsheets into a single database to reduce manual work and create version-controlled, real-time financial reporting. The platform provides dashboards, scenario modeling, and collaborative workflows that support budgeting, variance analysis, and forward-looking projections. It includes AI features that generate tailored insights and summaries to help teams analyze trends and answer business questions directly from consolidated financial data.",251-500,hello@datarails.com,Didi Gurfinkel,"Financial Services, FinTech, Information Technology, SaaS, Software"
Range,Mclean,Virginia,Series C,"Nov 25, 2025",,Active,www.range.com,"Range provides a wealth management dashboard and expert advisory service for high earners. The service empowers high earners to maximize their financial potential through expert advisory and a user-friendly dashboard. Range aims to simplify financial management by consolidating various financial tools into one platform, reducing the need to switch between different applications.",11-50,support@range.com,David Cusatis,"Media and Entertainment, Science and Engineering, Software, Advice, Artificial Intelligence (AI), Financial Services, FinTech, Wealth Management"
Biobot Analytics,Cambridge,Massachusetts,Series A,"Jun 6, 2025",$10M to $50M,Active,www.biobot.io,"Biobot is the pioneer and market leader in wastewater epidemiology intelligence with a mission to deliver population-level health insights across various infectious diseases and high risk substances. Customers include federal, state and local governments, pharmaceutical companies, universities, and more. Founded at MIT in 2017, Biobot's vision is that healthcare intelligence is inclusive and proactive.",11-50,hello@biobot.io,Mariana Matus,"Health Care, Information Technology, Natural Resources, Analytics, Artificial Intelligence (AI), Big Data, Biotechnology"
FriendliAI,Redwood City,California,Seed,"Aug 28, 2025",$1M to $10M,Active,friendli.ai,"FriendliAI is a generative AI infrastructure platform that enables deployment, scaling, and monitoring, including text, image, video, and audio, from sources like Hugging Face, and integrates quantization techniques such as FP8, INT8, and AWQ to improve inference efficiency. It offers managed services that automate GPU provisioning, auto-scaling, failure recovery, and performance tracking, helping businesses streamline generative AI deployment with reduced infrastructure complexity and cost. It also supports integrations with model hubs and tooling for debugging, observability, and structured API outputs.",11-50,contact@friendli.ai,Byung-Gon Chun,"Internet Services, Science and Engineering, Software, Artificial Intelligence (AI), Generative AI, Information Technology, Internet, SaaS"
MangoBoost,Bellevue,Washington,Series B,"Apr 21, 2026",$10M to $50M,Active,mangoboost.io,"As AI workloads evolve from simple chatbot to complex agentic workflows, traditional infrastructure has hit a wall. MangoBoost is building the next-generation AI infrastructure for the agentic AI era: a unified, end-to-end platform that transforms fragmented hardware into a single, dynamically orchestrated system. By replacing static, legacy infrastructure, MangoBoost eliminates the ""Coordination Tax""—the compounding overhead of data movement—and maximizes accelerator utilization across heterogeneous resources. The result is materially higher token efficiency and lower lifetime TCO than incumbent solutions, with performance that scales as AI workloads continue to evolve.

Founded in 2022 and headquartered in Bellevue, WA, MangoBoost is built on more than a decade of systems research published at top-tier venues, including MICRO, OSDI, ISCA, ASPLOS, and SIGCOMM. With a global team of 115+ engineers, a portfolio of 50+ patents, and over $100M raised from 20+ investors worldwide, MangoBoost leverages strategic alliances with global industry leaders to accelerate the deployment of the world's most efficient AI infrastructure.",101-250,contact@mangoboost.io,Dongup Kwon,"Information Technology, Internet Services, Science and Engineering, Agentic AI, AI Infrastructure, Artificial Intelligence (AI), Cloud Infrastructure, Data Center"
VulnCheck,Lexington,Massachusetts,Series B,"Feb 17, 2026",$1M to $10M,Active,vulncheck.com,"VulnCheck provides vulnerability intelligence and exploit monitoring services for security teams. The company collects and analyzes data on disclosed software vulnerabilities, exploitation activity, and threat actor behavior, delivering structured intelligence through feeds and an API. Its platform tracks proof-of-concept releases, ransomware associations, and exploitation in the wild to support prioritization and remediation workflows. VulnCheck also offers contextual enrichment, historical records, and integration capabilities that align with security operations tools. The company supports organizations seeking visibility into emerging threats and vulnerability risk management processes.",101-250,support@vulncheck.com.,Anthony Bettini,"Privacy and Security, Science and Engineering, Software, Artificial Intelligence (AI), Cyber Security, Information Technology, Network Security"
AvoMD,New York,New York,Series A,"Mar 31, 2026",$1M to $10M,Active,www.avomd.com/,"AvoMD is a no-code software platform that transforms clinical content – guidelines, algorithms, pathways, and checklists - into ""virtual clinical consults"" available instantly at the point-of-care on standalone web/mobile apps and in the EHR. Leading societies and health systems partner with AvoMD to transform authoritative clinical expertise into instant expert guidance at the bedside. Studies show that AvoMD improves outcomes while saving clinicians ~50% of their time in accessing and using information at the point-of-care.",11-50,lc@avomd.io,Joongheum Park,"Health Care, Medical Device, Software"
Aalyria,Livermore,California,Series B,"Feb 23, 2026",,Active,www.aalyria.com,"Aalyria develops network orchestration software and optical communication technologies for space and terrestrial connectivity. The company provides a platform called Spacetime that manages routing, resource allocation, and link optimization across satellites, aircraft, maritime systems, and ground networks. It also offers Tightbeam, a laser-based communication technology designed to transmit high-bandwidth data through atmospheric and space environments. Aalyria’s solutions support government and commercial programs that require secure, resilient, and scalable communications infrastructure. The company works with satellite operators, defense organizations, and telecommunications providers to coordinate complex, multi-domain networks.",101-250,,Brian Barritt,"Internet Services, Privacy and Security, Internet, Military, Network Security, Satellite Communication, Telecommunications"
Inception,Palo Alto,California,Seed,"Nov 6, 2025",,Active,www.inceptionlabs.ai,"Inception develops diffusion large language models for latency-sensitive applications. The company creates AI models and also reduces the GPU footprint, allowing organizations to run larger models at the same latency and cost or serve more users with the same infrastructure.",11-50,hello@inceptionlabs.ai,Stefano Ermon,"Science and Engineering, Software, Artificial Intelligence (AI), Information Technology, Natural Language Processing"
Echo,New York,New York,Series A,"Dec 16, 2025",,Active,www.echo.ai/,"Echo develops and provides container base images designed to eliminate known software vulnerabilities in cloud-native applications by rebuilding and hardening images with only essential components. The company’s offerings include a catalog of CVE-free images that integrate into existing development workflows and are continuously updated to address emerging security concerns, supported by automated processes and compatibility with common scanning tools. Echo’s platform uses AI-driven methods to produce and maintain these images, aiming to support engineering and security teams in reducing vulnerability management tasks and easing compliance efforts. The company also supplies resources and technical support to help users adopt secure base images within their DevOps pipelines.",11-50,,Eilon Elhadad,"Hardware, Information Technology, Privacy and Security, Artificial Intelligence (AI), Computer, Cyber Security, Network Security, Software"
Courtyard,San Francisco,California,Series A,"Jul 24, 2025",$10M to $50M,Active,courtyard.io,"Courtyard is a platform that provides liquidity to collectible assets via physically backed NFTs. It allows ownership of physical collectibles to be instantly and securely transferred anywhere in the world via NFTs, without the physical item itself having to be moved. Connected Collectibles - a new, frictionless way of storing and trading physical goods - is redefining physical asset ownership.",11-50,info@courtyard.io,Nicolas le Jeune,"Other, Blockchain, FinTech, Marketplace, Non-Fungible Token (NFT)"
Pinnacle Medicines,Doylestown,Pennsylvania,Series B,"Mar 26, 2026",,Active,www.pinnaclemedicines.com/,,11-50,info@pinnaclemedicines.com,,"Biopharma, Biotechnology, Medical"
Fleet Device Management,San Francisco,California,Series B,"Jun 17, 2025",$1M to $10M,Active,fleetdm.com/,"Fleet is an open-source platform for IT and endpoint security teams with lots of computers (macOS, Windows, Linux, ChromeOS, OT, data centers). The company is dedicated to making IT more accessible with an open API for every endpoint, while maintaining privacy, transparency, and trust through open-source software. Organizations like Fastly and Gusto use Fleet for device management, device health (""zero trust""), posture assessment, endpoint operations, and more.",11-50,,Mike McNeil,"Cyber Security, IT Infrastructure, IT Management, Network Security, Software"
TensorWave,Las Vegas,Nevada,Series A,"May 14, 2025",$100M to $500M,Active,tensorwave.com,"TensorWave is an AI and HPC cloud platform that uses AMD accelerators to support demanding AI workloads. The company's infrastructure supports memory-focused applications and allows scaling by adding multiple GPUs, making it suitable for various business needs in AI development.",51-100,contact@tensorwave.com,Darrick Horton,"Internet Services, Science and Engineering, Software, AI Infrastructure, Artificial Intelligence (AI), Cloud Computing, Cloud Infrastructure, Generative AI"
Lava,New York,New York,Series A,"Nov 3, 2025",$1M to $10M,Active,www.lava.xyz,,1-10,hello@lava.xyz,Shehzan Maredia,"Software, Bitcoin, Financial Services, Lending"
Kojo,San Francisco,California,Series C,"Sep 12, 2025",$10M to $50M,Active,www.usekojo.com,"Kojo provides a cloud-based software solution for the construction industry that manages the procurement, tracking, receipt, and payment of materials. It connects field teams, purchasing, warehouse, accounting, and vendor partners to centralize visibility into material costs, availability, and workflows. The platform integrates with existing ERP and project management tools to sync data across systems and reduce manual data entry. Features include mobile requisitioning, warehouse inventory tracking, tool tracking, and invoice processing. The mission is to help contractors modernize procurement workflows in order to gain more control over outcomes, increase sustainability, and reduce waste.",101-250,info@usekojo.com,Maria Davidson,"Construction, Logistics, Procurement, SaaS, Software"
Rise,Beachwood,Ohio,Series A,"Nov 21, 2024",$1M to $10M,Active,www.riseworks.io,"Rise is an innovative payroll and compliance provider. It is a Web3-enabled platform that helps businesses onboard, manage, and pay local and international contractors while ensuring full compliance and alleviating burdensome tax processes. Rise provides an all-in-one compliance and payment platform for companies with global workforces, streamlining onboarding, payments, and compliance tasks. It allows businesses to hire, onboard, and pay international contractors compliantly.",11-50,hello@riseworks.io,Andrew Maurer,"Internet Services, Other, Professional Services, Blockchain, Bookkeeping and Payroll, Compliance, Human Resources, Web3"
Spectro Cloud,San Jose,California,Series C,"Nov 19, 2024",$10M to $50M,Active,www.spectrocloud.com,"Spectro Cloud delivers simplicity and control to organizations running Kubernetes at any scale. 

With its Palette platform, Spectro Cloud empowers businesses to deploy, manage, and scale Kubernetes clusters effortlessly — from edge to data center to cloud — while maintaining the freedom to build their perfect stack. 

Trusted by leading organizations worldwide, Spectro Cloud transforms Kubernetes complexity into elegant, scalable solutions, enabling customers to master their cloud-native journey with confidence.

Spectro Cloud is a Gartner Cool Vendor, CRN Tech Innovator, a ‘leader’ and ‘outperformer’ in GigaOm’s 2025 Radars for Kubernetes for Edge Computing, and Managed Kubernetes, and a Strong Performer in the 2025 Forrester Wave for Multicloud Container Platforms.",251-500,contact@spectrocloud.com,Gautam Joshi,"Internet Services, Science and Engineering, Software, Artificial Intelligence (AI), Cloud Management, Information Technology, SaaS"
Augment Code,Palo Alto,California,Series B,"Nov 4, 2024",$10M to $50M,Active,www.augmentcode.com,"Augment Code builds AI agents that understand entire codebases to generate, review, and manage software. It offers deep contextual code comprehension, IDE and CLI integration, and automated task coordination. Developers can also leverage semantic code analysis, remote agents, and personalized prompt suggestions to streamline complex projects.",51-100,privacy@augmentcode.com.,Guy Gur-Ari,"Software, Artificial Intelligence (AI), Generative AI, Web Development"
Starship Technologies,San Francisco,California,Series C,"Oct 15, 2025",,Active,www.starship.xyz,"Starship Technologies is a robotics company building fleets of self-driving delivery robots designed to deliver goods locally within 30 minutes. The robots drive autonomously 99% of the time to make safe and environmentally friendly curb-side deliveries from a local hub. They also offering people convenient new services that improve everyday life.

Starships Technologies robots are equipped with a sensor suite that includes cameras, GPS, and inertial measurement units. The company's aim is to fundamentally reshape how goods are shipped and delivered, and make local delivery, ultimately, free. It also enables a new era of instant delivery that works around your schedule at much lower costs.

Starships Technologies was founded in 2014 and is headquartered in San Francisco, California.",501-1000,info@starship.xyz,Ahti Heinla,"Hardware, Science and Engineering, Software, Artificial Intelligence (AI), Delivery, Delivery Service, Robotics"
Daytona,New York,New York,Series A,"Feb 5, 2026",$10M to $50M,Active,www.daytona.io,"Daytona provides secure, elastic, and agent-native cloud infrastructure that enables AI agents to execute tools and code autonomously in isolated environments. Its sandboxes spin up in under 100ms, can run indefinitely, and are designed for strong isolation. 

Daytona equips agents with headless APIs for terminals, file systems, Git, and LSP, and supports parallel execution, persistent storage, and declarative image builds. 

It’s built for velocity, scales globally, and powers advanced agent use cases across code, data, and game environments.",11-50,support@daytona.io,Goran Draganic,"Internet Services, Science and Engineering, Software, Artificial Intelligence (AI), Cloud Infrastructure, Generative AI"
Opus,New York,New York,Series B,"Feb 24, 2026",$1M to $10M,Active,www.opus.so,"Opus is a hospitality training platform purpose-built for the frontline that provides digital tools to help service staff learn skills, complete training modules, and access performance resources. The platform offers structured learning pathways, micro-lessons, and interactive content tailored to operational roles such as servers, housekeepers, bartenders, and guest services teams. It supports onboarding, upskilling, and continuous education by enabling employees to engage with training materials on mobile devices and track progress through competency checklists. Opus also includes features for managers to assign courses, monitor completion rates, and align training activities with service standards and operational needs. The platform integrates assessment and feedback mechanisms that help learners reinforce knowledge and demonstrate proficiency in core hospitality tasks. Through its digital training infrastructure, Opus supports workforce development and skill alignment within hospitality environments.",11-50,hello@opus.so,Jeffrey Silver,"E-Learning, Hospitality, SaaS, Software, Training"
Braveheart Bio,San Francisco,California,Series A,"Nov 5, 2025",,Active,www.braveheart.bio/,"Braveheart Bio is a biotechnology startup in late clinical development, working on innovative treatments for hypertrophic cardiomyopathy and related disorders. Braveheart's small molecule therapy candidate, BHB-1893, is a selective cardiac myosin inhibitor designed to improve heart function in HCM patients. Overcontraction in HCM can result in thicker heart muscle and a decline in the heart's ability to fill and pump blood. HCM is among the most frequent uncommon diseases, affecting one in every 500 people in the United States.",11-50,info@braveheart.bio,,"Biotechnology, Life Science, Therapeutics"
Axiamatic,Saratoga,California,Series A,"Mar 11, 2026",$1M to $10M,Active,www.axiamatic.com,"Axiamatic is an AI company for transformation and implementation of ERP systems. With a team of experts led by co-founders Rajiv Gupta and Kaushik Narayan, Axiamatic leverages their experience to offer AI solutions to speed up and reduce the risk of large technology transformations like ERP that are core to how enterprises run their business. The company aims to empower organizations going through ERP transformations by providing chat and workflow-capable AIs with ERP-specific knowledge and skills to help teams implement an ERP solution that's fit right for their business and delivered on time.",11-50,,Kaushik Narayan,"Software, Artificial Intelligence (AI), Enterprise Resource Planning (ERP), Generative AI"
GMI Cloud,Mountain View,California,Series A,"Oct 29, 2024",,Active,www.gmicloud.ai,"GMI Cloud specializes in offering cloud-based access to top-tier GPUs, such as the NVIDIA H100, for generative AI applications. The platform features scalable GPU instances, a robust cluster engine, and an application platform tailored for AI development.",51-100,Info@gmicloud.ai,Alex Yeh,"Information Technology, Other, Science and Engineering, Artificial Intelligence (AI), Data Center, Service Industry"
Faye,Newark,Delaware,Series B,"Jul 30, 2024",$1M to $10M,Active,www.withfaye.com,"Faye is a travel insurance company that provides whole-trip travel coverage and care that brings in industry technology for each journey that enables smarter, faster, smoother assistance and claims resolutions.

Their travel insurance covers your health, your trip, your stuff, and even your pet via an app that provides real-time proactive solutions, quick reimbursements, and 24/7 customer experience specialists who turn travel mishaps into laugh-about-it-later memories.",101-250,support@withfaye.com,Daniel Green,"Software, Transportation, Travel and Tourism, FinTech, Insurance, InsurTech, Predictive Analytics"
HavocAI,Providence,Rhode Island,Series A,"Oct 9, 2025",,Active,www.havocai.com,HavocAI is an artificial intelligence company that offers maritime autonomy solutions to the defense and commercial markets.,11-50,info@havocai.com,Joe Turner,"Science and Engineering, Software, Artificial Intelligence (AI), Marine Technology, Public Safety"
